component,category,layer,root_tag,reviewed,box_model,box_flags,sizing,token_usage,layout,geom_expected,geom_actual,geom_verdict,visual_review,notes
Accordion,structure,composer,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,border-width=1px; border-color=#fceaea; border-radius=4px; spacing-gap=24px; text-size=16px; text-lineHeight=1.5; text-sizeContent=14px; text-lineHeightContent=1.8,15tok/2lit,flex; dir=column; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""accordion accordion--single""; disp=flex; pad-i=0px; pad-b=0px; min-h=0px; h=83.19px; w=97.16px; gap=24px","ok (flex, 97.16×83.19px)",yes,
Alert,feedback,compound,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,layout-root width:auto (block component may expect 100%),color-border-primary=#f29495; size-padding=16px; size-radius=8px; spacing-gap=8px; text-size=14px; icon-size=16px; typography-title-fontSize=16px,18tok/5lit,flex; align=flex-start; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""alert alert--info alert--inline""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=51px; w=64.78px; gap=8px","ok (flex, 64.78×51px)",yes,
AlertNotice,feedback,compound,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px,layout-root width:auto (block component may expect 100%),color-border-info=#0042dc; color-border-success=#336006; color-border-warning=#824500; color-border-danger=#ae0001; size-padding=16px; size-radius=8px; spacing-gap=8px; text-size=14px,18tok/5lit,flex; align=flex-start; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""alert-notice alert-notice--info alert-notice--page""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=51px; w=106.92px; gap=8px","ok (flex, 106.92×51px)",yes,
Avatar,glyph,compound,div,no,width=16px; height=16px,,size-default=16px; size-radius-default=9999px; size-border-default=1px; color-border-default=#fceaea,18tok/6lit,inline-flex; align=center; justify=center,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""avatar avatar--small""; disp=flex; pad-i=0px; pad-b=0px; min-h=0px; h=18px; w=18px; gap=0px","ok (flex, 18×18px)",,
Badge,glyph,primitive,span,no,width=16px; height=16px,no padding override on non-inline root,color-border-default=#fceaea; spacing-gap=2px,14tok/0lit,(default),display=(default) (contract); min-height honored; box-model per demo config,"class=""badge badge--default badge--info badge--sm""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=16px; w=16px; gap=2px","ok (block, 16×16px)",yes,
Blockquote,surface,primitive,blockquote,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,color-border-default=#d9292b; size-padding-default=12px; size-radius-default=8px; size-border-thick=2px,16tok/0lit,(default); gap=12px,display=(default) (contract); min-height honored; box-model per demo config,"class=""blockquote blockquote--default blockquote--sm""; disp=block; pad-i=12px; pad-b=12px; min-h=0px; h=42px; w=105.52px; gap=8px","ok (block, 105.52×42px)",,
Breadcrumbs,structure,compound,nav,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,color-border-subtle=#cecece; typography-lineHeight-collapse=1; shape-radius-medium=8px; spacing-gap-default=8px,17tok/1lit,block; gap=8px,display=block (contract); min-height honored; box-model per demo config,"class=""breadcrumbs""; disp=block; pad-i=8px; pad-b=8px; min-h=0px; h=32px; w=113.25px; gap=16px","ok (block, 113.25×32px)",yes,
Button,action,primitive,button,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-w=36px; min-h=36px,,color-border-default=#fceaea; color-border-hover=#8f8f8f; color-border-focus=#d9292b; size-gap-default=8px; size-radius=9999px; size-border=1px; size-padding-block-medium=8px; size-padding-inline-medium=12px,19tok/8lit,inline-flex; align=center; justify=center; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""button button--small button--primary""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=32px; w=56.55px; gap=8px","ok (flex, 56.55×32px)",,
Calendar,structure,composer,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,(none),16tok/4lit,block; gap=8px,display=block (contract); min-height honored; box-model per demo config,"class=""calendar calendar--single""; disp=block; pad-i=24px; pad-b=24px; min-h=0px; h=580px; w=146px; gap=16px","ok (block, 146×580px)",yes,
Card,surface,compound,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,layout-root width:auto (block component may expect 100%),color-border-default=#fceaea; size-padding-default=16px; size-padding-inset=8px; size-radius-default=8px; size-gap-default=4px; typography-lineHeight-heading=1; typography-lineHeight-normal=1.5,17tok/5lit,flex; dir=column; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""stack stack--vertical card card--completed card--default""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=58px; w=68.72px; gap=4px","ok (flex, 68.72×58px)",yes,
Checkbox,input,primitive,input,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,,color-border-default=#aeaeae; border-width=1px; border-radius=4px; focus-ring-width=2px,11tok/3lit,inline-flex; align=center; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""checkbox checkbox--sm""; disp=flex; pad-i=0px; pad-b=0px; min-h=32px; h=32px; w=13px; gap=8px","ok (flex, 13×32px)",,
Chip,display,compound,button,no,gap=4px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,color-border-default=#aeaeae; size-padding-horizontal=8px; size-padding-vertical=2px; size-gap=2px; size-radius=9999px; size-border=1px; text-size=12px; focus-ring-width=2px,19tok/0lit,(default); gap=4px,display=(default) (contract); min-height honored; box-model per demo config,"class=""chip chip--default chip--small""; disp=block; pad-i=2px; pad-b=2px; min-h=0px; h=25px; w=32.69px; gap=2px","ok (block, 32.69×25px)",yes,
Command,structure,composer,div,no,gap=8px,layout-root width:auto (block component may expect 100%) | 1 hardcoded dim(s) | no padding override on non-inline root,(none),11tok/8lit | dims: padding-top=10vh,flex; align=flex-start; justify=center; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""command""; disp=flex; pad-i=0px; pad-b=90px; min-h=0px; h=900px; w=1280px; gap=16px","ok (flex, 1280×900px)",yes,
Details,structure,composer,details,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,size-padding-default=16px; size-radius-default=8px; size-icon=12px; color-border-default=#f29495; color-border-hover=#8f8f8f; focus-ring-width=2px; spacing-gap-default=2px; typography-lineHeight-body=1.5,17tok/4lit,block; gap=8px,display=block (contract); min-height honored; box-model per demo config,"class=""details details--default details--left""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=78px; w=80px; gap=2px","ok (block, 80×78px)",yes,
Dialog,surface,composer,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,(none),11tok/7lit,flex; align=center; justify=center; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""dialog dialog--sm""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=900px; w=1280px; gap=8px","ok (flex, 1280×900px)",,
Divider,display,primitive,hr,no,gap=4px,no padding override on non-inline root,size-thickness=1px; size-thicknessThick=1px,14tok/3lit,block; gap=4px,display=block (contract); min-height honored; box-model per demo config,"class=""divider divider--horizontal""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=2px; w=1248px; gap=4px","ok (block, 1248×2px)",yes,
Field,input,composer,div,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,,gap-y=8px; gap-meta=4px; radius=8px; color-border=#cecece; color-borderBold=#8f8f8f; color-focus-border=#d9292b; color-invalid-border=#ae0001; color-valid-border=#336006,12tok/2lit,flex; dir=column; gap=8px,display=flex (contract); min-height honored; box-model per demo config,"class=""field field--idle""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=68px; w=76.56px; gap=8px","ok (flex, 76.56×68px)",,
Icon,glyph,primitive,span,no,width=16px; height=16px,no padding override on non-inline root,size-padding-default=1px,13tok/0lit,(default),display=(default) (contract); min-height honored; box-model per demo config,"class=""icon""; disp=block; pad-i=1px; pad-b=1px; min-h=0px; h=18px; w=18px; gap=0px","ok (block, 18×18px)",yes,
Image,display,primitive,img,no,gap=4px,no padding override on non-inline root,size-icon=32px; typography-error-fontSize=12px,12tok/2lit,block; gap=4px,display=block (contract); min-height honored; box-model per demo config,"class=""image image--none image--xs""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=0px; w=0px; gap=4px",(root present but zero-size — collapsed/empty default; manual),yes,
Input,input,primitive,input,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,,color-border-default=#aeaeae; size-height-default=48px; size-radius-default=8px; space-inline-default=12px,16tok/0lit,(default); gap=8px,display=(default) (contract); min-height honored; box-model per demo config,"class=""input""; disp=block; pad-i=12px; pad-b=12px; min-h=48px; h=76px; w=173px; gap=8px","ok (block, 173×76px)",,
Label,display,primitive,label,no,gap=4px,no padding override on non-inline root,typo-lineHeight-default=1.2,13tok/0lit,(default); gap=4px,display=(default) (contract); min-height honored; box-model per demo config,"class=""label""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=19.19px; w=39.38px; gap=4px","ok (block, 39.38×19.19px)",yes,
Links,display,primitive,a,no,gap=4px,no padding override on non-inline root,spacing-gap-default=2px; focus-ring-width=2px; focus-ring-radius=2px,14tok/0lit,(default); gap=4px,display=(default) (contract); min-height honored; box-model per demo config,"class=""links links--small""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=18px; w=37.56px; gap=2px","ok (block, 37.56×18px)",yes,
List,structure,compound,ul,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,color-border-default=#cecece; size-padding-default=16px,14tok/0lit,(default); gap=8px,display=(default) (contract); min-height honored; box-model per demo config,"class=""list list--ul list--default list--default list--none list--sm""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=50px; w=57.91px; gap=16px","ok (block, 57.91×50px)",yes,
NavList,structure,compound,nav,no,gap=8px,layout-root width:auto (block component may expect 100%) | no padding override on non-inline root,size-padding-block=4px; size-padding-inline=8px; size-radius-default=8px; size-gap-list=2px; size-gap-group=8px; size-fontSize-item=14px; size-fontSize-groupLabel=11px,11tok/1lit,block; gap=8px,display=block (contract); min-height honored; box-model per demo config,"class=""nav-list nav-list--vertical""; disp=block; pad-i=0px; pad-b=0px; min-h=0px; h=18px; w=54.03px; gap=16px","ok (block, 54.03×18px)",yes,
OTP,input,composer,div,no,pb-start=8px; pb-end=8px; pi-start=12px; pi-end=12px; gap=8px; min-h=36px,1 hardcoded dim(s),color-border-default=#fceaea; size-padding-default=24px; size-radius-default=8px; color-border-accent=#d9292b; focus-ring-width=2px,10tok/3lit | dims: gap=8px,inline-flex; align=center; gap=8px,display=inline-flex (contract); min-height honored; box-model per demo config,"class=""otp otp--numeric""; disp=flex; pad-i=8px; pad-b=4px; min-h=32px; h=48px; w=276px; gap=8px","ok (flex, 276×48px)",yes,
Popover,surface,composer,div,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,,(none),16tok/2lit,inline-block; gap=12px,display=inline-block (contract); min-height honored; box-model per demo config,"class=""popover popover--top""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=50px; w=96px; gap=8px","ok (block, 96×50px)",,
Postcard,surface,compound,article,no,pb-start=16px; pb-end=16px; pi-start=16px; pi-end=16px; gap=12px; min-w=64px,layout-root width:auto (block component may expect 100%),color-border-default=#fceaea; color-border-hover=#8f8f8f; size-padding-default=16px; size-radius-default=8px; size-radius-full=9999px; size-gap-default=12px; size-border-default=1px; typography-displayName-fontSize=16px,18tok/4lit,flex; dir=column; gap=12px,display=flex (contract); min-height honored; box-model per demo config,"class=""postcard postcard--image""; disp=flex; pad-i=16px; pad-b=16px; min-h=0px; h=75px; w=64px; gap=12px","ok (flex, 64×75px)",yes,
ProfileFlag,glyph,primitive,div,no,width=16px; height=16px,no padding override on non-inline root,color-border-default=#fceaea; size-radius-default=8px; spacing-gap-default=4px; color-border-hover=#8f8f8f,16tok/0lit,(default),display=(default) (contract); min-height honored; box-model per demo config,"class=""profile-flag""; disp=block; pad-i=16px; pad-b=16px; min-h=0px; h=48px; w=48px; gap=4px","ok (block, 48×48px)",yes,
