component,other_names,description,accessibility_considerations,related_components
Accordion,"Arrow toggle, Collapse, Collapsible sections, Disclosure, Expandable, ShowyHideyThing",A vertical stack of headings used to toggle the display of further information.,Use aria-expanded to indicate expanded or collapsed state; ensure headings are focusable and keyboard-accessible.,"Tabs, Drawer"
Alert,"Notification, Feedback, Message, Banner, Callout",Displays important information or status changes in a prominent way.,"Should be announced by screen readers (use role=""alert"" or role=""status""); ensure it does not disappear too quickly.","Toast, Modal"
Avatar,,"A graphical representation of a user (photo, illustration, initials).",Use alt text to describe the image for screen readers.,"Badge, Icon"
Badge,"Tag, Label, Chip",A small label representing a status or metadata.,"Use appropriate ARIA labels to describe its purpose, especially if it conveys important info.","Avatar, Tag"
Breadcrumbs,Breadcrumb trail,Shows the user's location within a site's navigational hierarchy.,Use aria-current to indicate the current page; make links accessible with semantic nav elements.,"Navigation, Link"
Button,,"Triggers actions (e.g., submit, show/hide).",Use aria-pressed for toggle buttons; ensure buttons are accessible by keyboard.,"Button Group, Toggle"
Button Group,Toolbar,"Groups multiple, related buttons.","Use role=""group"" for screen readers.","Segmented Control, Tabs"
Card,Tile,"A container for a single entity, such as a contact or article.",Use aria-labelledby and aria-describedby to clarify relationships.,"List, Grid"
Checkbox,,"Binary input for selecting options, alone or in groups.",Ensure labels are clearly associated with inputs using for attributes.,"Radio Button, Toggle"
Color Picker,,Input for choosing a color.,Provide a text alternative for screen readers; ensure keyboard access.,"Slider, Input"
Date Picker,"Calendar, Date Selector",Allows users to select a date or range of dates from a calendar interface.,Ensure keyboard navigation is possible for date selection; provide a text alternative or use aria-live for dynamically updated information.,"Input, Dropdown"
Dialog,"Modal, Popup","A window that appears over the main content, usually requiring user interaction before closing.",Use aria-modal to indicate its modal nature; focus should remain within the dialog while it is open.,"Alert, Drawer"
Dropdown,"Select, Drop List, Combobox",A list of options that expands vertically when clicked or tapped.,Use aria-expanded to indicate expanded/collapsed state; ensure each option is focusable by keyboard.,"Button, Menu"
File Upload,"File Picker, Attachment",Allows users to upload files from their device.,Ensure a clear label and instructions for users; announce the upload status.,"Button, Input"
Form Field,"Input, Text Field, Fieldset","A control for collecting user input, typically within forms.",Use appropriate labels and aria-required for mandatory fields; provide error feedback clearly.,"Checkbox, Radio Button, Dropdown"
Icon,,A small graphic element often used to symbolize an action or status.,Provide descriptive aria-label or aria-hidden if decorative; ensure contrast against background.,"Button, Avatar, Badge"
List,"Collection, Group","A structured group of items, such as text, images, or links.","Use semantic list elements (e.g., <ul>, <ol>); ensure focusable items.","Card, Grid"
Menu,"Navigation, Hamburger Menu","A set of options or links, usually in a collapsible or pop-up style for navigation or action selection.","Ensure keyboard accessibility and use role=""menu"" with appropriate aria attributes for structure.","Dropdown, Button"
Pagination,,Navigational control for dividing content across multiple pages.,"Use aria-labels for navigation controls, announce the current page, and ensure keyboard accessibility.","List, Navigation"
Progress Indicator,"Progress Bar, Loader, Spinner","Shows the status or completion of a process, such as loading or uploading.","Use aria-live for updates, ensure screen readers convey the progress, and use aria-valuenow for specific percentages.","Status Indicator, Toast"
Radio Button,Option Button,A set of options where only one choice is selectable.,Ensure the radio group has a label and that each option is associated with its group.,"Checkbox, Toggle"
Slider,Range Input,Allows users to select a value from a range by sliding a handle.,"Use aria-valuemin, aria-valuemax, and aria-valuenow for screen reader support. Ensure keyboard accessibility.","Color Picker, Input"
