category,subcategory,purpose,examples
Input Components,Text Inputs,Collect data from users,"Form Field, Search"
Input Components,Selectors,Collect data from users,"Checkbox, Radio Button, Toggle, Switch, Dropdown, Date Picker, Color Picker, Slider"
Input Components,File Uploads,Collect data from users,File Upload
Action Components,Buttons,"Trigger an action, interaction, or navigation and provide feedback","Button, Button Group, Icon Button"
Action Components,Navigation,"Trigger an action, interaction, or navigation and provide feedback","Link, Breadcrumbs, Pagination, Tabs, Segmented Control"
Action Components,Selection Navigation,"Trigger an action, interaction, or navigation and provide feedback","Accordion, Stepper, Menu, Tree View, Filter Panel"
Display Components,Informational Blocks,Present static or dynamic data and content,"Card, Avatar, Badge, Tooltip, Tag, Status Indicator, Chart"
Display Components,Data Presentation,Present static or dynamic data and content,"Table, Data Table, List, Grid"
Display Components,Media,Present static or dynamic data and content,"Image, Icon, Video"
System Messaging and Feedback Components,Persistent Messages,"Inform users of changes, statuses, or feedback","Alert, Banner, Toast, Snackbar, Notification"
System Messaging and Feedback Components,Transient Messages,"Inform users of changes, statuses, or feedback","Tooltip, Infotip, Badge"
System Messaging and Feedback Components,Feedback Indicators,"Inform users of changes, statuses, or feedback","Progress Indicator, Status Indicator, Rating"
Overlay and Focus Components,Modals and Popups,"Layer or group information, typically over the main content","Dialog, Modal, Popover, Tooltip"
Overlay and Focus Components,Guided Interactions,"Layer or group information, typically over the main content","Wizard, Carousel"
Structural and Layout Components,Organizers,Provide visual structure or hierarchy to the content,"Accordion, Tabs, Panel, Filter Sidebar"
Structural and Layout Components,Containers,Provide visual structure or hierarchy to the content,"Card, Tile, Form Fieldset, Table of Contents, Tree View"
Structural and Layout Components,Headers and Footers,Provide visual structure or hierarchy to the content,"Header, Footer, Breadcrumbs, Table Headers"
Navigation and Guidance Components,Primary Navigation,Help users with wayfinding,"Navigation Bar, Sidebar, Hamburger Menu"
Navigation and Guidance Components,Secondary Navigation,Help users with wayfinding,"Breadcrumbs, Tabs, Pagination, Stepper"
Navigation and Guidance Components,Orientation Aids,Help users with wayfinding,"Table of Contents, Link, Tooltip, Breadcrumbs"
